School,div,value
m,OperatingExpenses,2485438
m,CoachSalaries,4283514
m,RecruitingExpenses,714482
m,OtherExpenses,5924476
f,OperatingExpenses,1620069
f,CoachSalaries,2771136
f,RecruitingExpenses,357344
f,OtherExpenses,3556029
