School,div,value
m,OperatingExpenses,3556727
m,CoachSalaries,5117686
m,RecruitingExpenses,822166
m,OtherExpenses,3265742
f,OperatingExpenses,2970381
f,CoachSalaries,3584706
f,RecruitingExpenses,428323
f,OtherExpenses,2194585
