School,div,value
m,OperatingExpenses,3839160
m,CoachSalaries,4274571
m,RecruitingExpenses,568474
m,OtherExpenses,2807933
f,OperatingExpenses,2732752
f,CoachSalaries,3441641
f,RecruitingExpenses,526605
f,OtherExpenses,2449505
