School,div,value
m,OperatingExpenses,3028191
m,CoachSalaries,4985577
m,RecruitingExpenses,786757
m,OtherExpenses,3758254
f,OperatingExpenses,1734977
f,CoachSalaries,2597451
f,RecruitingExpenses,316503
f,OtherExpenses,1470208
