School,div,value
m,OperatingExpenses,3779587
m,CoachSalaries,4884552
m,RecruitingExpenses,1257981
m,OtherExpenses,4380269
f,OperatingExpenses,2109224
f,CoachSalaries,2499992
f,RecruitingExpenses,250772
f,OtherExpenses,1431836
