School,div,value
m,OperatingExpenses,3255841
m,CoachSalaries,3569936
m,RecruitingExpenses,657879
m,OtherExpenses,2987245
f,OperatingExpenses,2490449
f,CoachSalaries,2488527
f,RecruitingExpenses,418786
f,OtherExpenses,1609562
